"EFF_DATE","ROUTE_TYPE_CODE","ROUTE_ID","ARTCC","WIDTH_SEQ_NO","WIDTH_TEXT"
"2026/01/22","IR","126","ZDV ZLA ZLC",15,"CENTERLINE FROM M TO N; 4 NM LEFT AND 2 NM RIGHT OF CENTERLINE"
"2026/01/22","IR","126","ZDV ZLA ZLC",20,"FROM N TO O; 3 NM LEFT AND 2.5 NM RIGHT OF CENTERLINE FROM O TO"
"2026/01/22","IR","126","ZDV ZLA ZLC",25,"Q; 3 NM LEFT AND 2.5 NM RIGHT OF CENTERLINE FROM Q TO S; 4 NM"
"2026/01/22","IR","126","ZDV ZLA ZLC",30,"EITHER SIDE OF CENTERLINE FROM S TO X; BOUNDARIES OF DESERT MOA"
"2026/01/22","IR","126","ZDV ZLA ZLC",35,"LEFT AND 4 NM RIGHT FROM X TO Z; ALTERNATE EXIT: 4 NM EITHER SIDE"
"2026/01/22","IR","126","ZDV ZLA ZLC",36,"OF CENTERLINE FROM P TO AB; ALTERNATE ENTRY: 4 NM EITHER SIDE OF"
"2026/01/22","IR","126","ZDV ZLA ZLC",37,"CENTERLINE FROM AD TO K; RE-ENTRY; 4 NM EITHER SIDE OF CENTERLINE"
"2026/01/22","IR","126","ZDV ZLA ZLC",40,"FROM P TO AC; RE-ENTRY; 2.5 LEFT AND 4 NM RIGHT OF CENTERLINE FROM"
"2026/01/22","IR","126","ZDV ZLA ZLC",45,"AC TO N."
"2026/01/22","IR","127","ZFW ZHU",5,"5 NM EITHER SIDE OF CENTERLINE."
"2026/01/22","IR","128","ZAB ZFW",5,"4 NM EITHER SIDE OF CENTERLINE FROM A TO C;"
"2026/01/22","IR","128","ZAB ZFW",10,"3 NM LEFT AND 2.5 NM RIGHT OF CENTERLINE FROM C TO DE; 3 NM"
"2026/01/22","IR","128","ZAB ZFW",15,"EITHER SIDE OF CENTERLINE FROM DE TO E; 4 NM EITHER SIDE OF"
"2026/01/22","IR","128","ZAB ZFW",20,"CENTERLINE FROM E TO K; 5 NM LEFT AND 4 NM RIGHT OF CENTERLINE"
"2026/01/22","IR","128","ZAB ZFW",25,"FROM K TO M; 4 NM EITHER SIDE OF CENTERLINE FROM M TO Q; 4 NM"
"2026/01/22","IR","128","ZAB ZFW",30,"LEFT AND 3 NM RIGHT OF CENTERLINE FROM Q TO R; 3 NM LEFT AND 4"
"2026/01/22","IR","128","ZAB ZFW",35,"NM RIGHT OF CENTERLINE FROM R TO U; 4 NM EITHER SIDE OF CENTERLINE"
"2026/01/22","IR","128","ZAB ZFW",40,"FROM U TO W; 4 NM LEFT AND 3 NM RIGHT OF CENTERLINE FROM W TO Y;"
