"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","SKED_SEQ_NO","MONTH","DAY","HOUR"
"2026/02/19","00419.1","A","AL","1AL5","LOXLEY","US",1,"UNATNDD","",""
"2026/02/19","00420.","A","AL","AL97","LOXLEY","US",1,"UNATNDD","",""
"2026/02/19","00425.1","A","AL","04A","LUVERNE","US",1,"UNATTENDED","",""
"2026/02/19","00425.11","H","AL","AL06","LUVERNE","US",1,"UNATNDD","",""
"2026/02/19","00426.3","A","AL","7AL7","MADRID","US",1,"IREG","",""
"2026/02/19","00426.51","A","AL","2AL1","MAGNOLIA SPRINGS","US",1,"IREG","",""
"2026/02/19","00427.4","A","AL","AL76","MAPLESVILLE","US",1,"UNATNDD","",""
"2026/02/19","00428.21","A","AL","A08","MARION","US",1,"UNATNDD","",""
"2026/02/19","00429.","H","AL","AL95","MC INTOSH","US",1,"ALL","ALL","ALL"
"2026/02/19","00430.","A","AL","AL09","MENTONE","US",1,"UNATNDD","",""
"2026/02/19","00431.75","H","AL","86AL","MIDLAND CITY","US",1,"UNATNDD","",""
"2026/02/19","00433.5","A","AL","28AL","MILLBROOK","US",1,"UNATNDD","",""
"2026/02/19","00437.","A","AL","BFM","MOBILE","US",1,"ALL","ALL","0700-2300"
"2026/02/19","00437.1","H","AL","AL52","MOBILE","US",1,"ALL","ALL","ALL"
"2026/02/19","00437.2","H","AL","AL82","MOBILE","US",1,"ALL","ALL","ALL"
"2026/02/19","00437.3","A","AL","62AL","MOBILE","US",1,"UNATNDD","",""
"2026/02/19","00438.","A","AL","MOB","MOBILE","US",1,"ALL","ALL","ALL"
"2026/02/19","00438.01","H","AL","75AL","MOBILE","US",1,"UNATNDD","",""
"2026/02/19","00438.02","H","AL","AL31","MOBILE","US",1,"UNATNDD","",""
"2026/02/19","00440.11","H","AL","1AL6","MONROEVILLE","US",1,"ALL","ALL","ALL"
"2026/02/19","00440.2","A","AL","MVC","MONROEVILLE","US",1,"ALL","MON-FRI","0800-2000"
"2026/02/19","00440.2","A","AL","MVC","MONROEVILLE","US",2,"ALL","SAT-SUN","0800-1700"
"2026/02/19","00445.","A","AL","5AL3","MONTEVALLO","US",1,"UNATNDD","",""
"2026/02/19","00446.","A","AL","MXF","MONTGOMERY","US",1,"ALL","MON-FRI","1400-0400Z++"
"2026/02/19","00446.","A","AL","MXF","MONTGOMERY","US",2,"ALL","SAT-SUN","1600-0000Z++"
"2026/02/19","00446.2","H","AL","1AL7","MONTGOMERY","US",1,"UNATNDD","",""
"2026/02/19","00446.5","H","AL","AL11","MONTGOMERY","US",1,"ALL","ALL","ALL"
"2026/02/19","00446.51","A","AL","AL12","MONTGOMERY","US",1,"UNATNDD","",""
"2026/02/19","00447.","A","AL","MGM","MONTGOMERY","US",1,"ALL","ALL","ALL"
"2026/02/19","00448.","A","AL","1AL8","MOODY","US",1,"UNATNDD","",""
"2026/02/19","00450.","A","AL","AL34","MOULTON","US",1,"ALL","ALL","DAWN-DUSK"
"2026/02/19","00450.1","H","AL","AL86","MOULTON","US",1,"ALL","ALL","ALL"
"2026/02/19","00450.35","A","AL","AL44","MOUNDVILLE","US",1,"UNATTENDED","",""
"2026/02/19","00451.","H","AL","AL24","MOUNT OLIVE","US",1,"ALL","MON-SAT","0830-1630"
"2026/02/19","00455.","A","AL","MSL","MUSCLE SHOALS","US",1,"ALL","ALL","0600-1800"
"2026/02/19","00455.01","H","AL","AL53","MUSCLE SHOALS","US",1,"ALL","ALL","SR-SS"
"2026/02/19","00455.1","A","AL","5AL5","MUSCLE SHOALS","US",1,"UNATNDD","",""
"2026/02/19","00463.1","A","AL","20A","ONEONTA","US",2,"UNATNDD","ALL","ALL"
"2026/02/19","00464.5","A","AL","AL89","OPELIKA","US",1,"UNATNDD","",""
"2026/02/19","00464.51","H","AL","3AL2","OPELIKA","US",1,"ALL","ALL","ALL"
"2026/02/19","00464.52","H","AL","AL85","AUBURN","US",1,"UNATNDD","",""
"2026/02/19","00470.75","H","AL","AL28","ORANGE BEACH","US",1,"UNATNDD","",""
"2026/02/19","00477.","A","AL","AL71","OUR TOWN","US",1,"UNATNDD","",""
"2026/02/19","00479.","A","AL","3AL8","OWENS CROSSROADS","US",1,"UNATNDD","",""
"2026/02/19","00480.1","A","AL","71J","OZARK","US",1,"ALL","MON-FRI","0800-1700"
"2026/02/19","00480.11","H","AL","AL87","OZARK","US",1,"ALL","ALL","ALL"
"2026/02/19","00480.12","A","AL","36AL","OZARK","US",1,"UNATNDD","",""
"2026/02/19","00480.21","H","AL","37AL","PELL CITY","US",1,"UNATNDD","",""
"2026/02/19","00480.6","A","AL","PLR","PELL CITY","US",1,"ALL","MON-SAT","0730-1700"
"2026/02/19","00480.6","A","AL","PLR","PELL CITY","US",2,"ALL","SUN","UNTNDD"
"2026/02/19","00480.71","A","AL","AL33","PERDIDO","US",1,"UNATNDD","",""
"2026/02/19","00481.01","A","AL","2AL8","PHENIX CITY","US",1,"UNATNDD","",""
"2026/02/19","00481.29","A","AL","84AL","PINCKARD","US",1,"UNATNDD","",""
"2026/02/19","00481.30","A","AL","7AL5","PINCKARD","US",1,"UNATNDD","",""
"2026/02/19","00481.37","A","AL","AL16","PINSON","US",1,"UNATNDD","",""
"2026/02/19","00481.91","A","AL","1A9","PRATTVILLE","US",4,"ALL","ALL","0800-1700"
"2026/02/19","00492.5","A","AL","HUA","REDSTONE ARSNL HUNTSVILLE","US",1,"ALL","MON-FRI","0700-1800"
"2026/02/19","00492.5","A","AL","HUA","REDSTONE ARSNL HUNTSVILLE","US",2,"CLDS HOLS","",""
"2026/02/19","00494.","A","AL","3M8","REFORM","US",1,"UNATNDD","",""
"2026/02/19","00498.","A","AL","7A5","ROANOKE","US",1,"UNATNDD","",""
"2026/02/19","00498.01","H","AL","2AL2","ROANOKE","US",1,"IREG","",""
"2026/02/19","00498.5","A","AL","AL25","ROBA","US",1,"UNATNDD","",""
"2026/02/19","00499.03","A","AL","AL84","ROBERTSDALE","US",1,"UNATNDD","",""
"2026/02/19","00499.1","A","AL","1AL4","ROBERTSDALE","US",1,"UNATNDD","",""
"2026/02/19","00502.1","A","AL","M22","RUSSELLVILLE","US",1,"ALL","MON-SAT","0900-1700"
"2026/02/19","00502.11","H","AL","AL15","RUSSELLVILLE","US",1,"UNATNDD","",""
"2026/02/19","00507.","A","AL","2R5","ST ELMO","US",1,"UNATNDD","",""
"2026/02/19","00507.02","A","AL","1A4","SAMSON","US",1,"UNATNDD","",""
"2026/02/19","00508.22","H","AL","36AA","SAWYERVILLE","US",1,"ALL","ALL","ALL"
"2026/02/19","00509.1","A","AL","4A6","SCOTTSBORO","US",1,"ALL","ALL","0800-1700"
"2026/02/19","00509.12","H","AL","03AL","SCOTTSBORO","US",1,"UNATNDD","",""
"2026/02/19","00511.","A","AL","SEM","SELMA","US",1,"ALL","ALL","0800-1800"
"2026/02/19","00511.1","H","AL","AL90","SELMA","US",1,"UNATNDD","",""
"2026/02/19","00514.","A","AL","AL74","SEMMES","US",1,"UNATNDD","",""
"2026/02/19","00514.19","H","AL","47AL","SEMMES","US",2,"ALL","ALL","ALL"
"2026/02/19","00516.","A","AL","AL41","SLOCOMB","US",1,"ALL","MON-SAT","0800-1700"
"2026/02/19","00516.","A","AL","AL41","SLOCOMB","US",2,"ALL","SUN","1200-1700"
"2026/02/19","00516.01","H","AL","31AL","SLOCOMB","US",1,"UNATNDD","",""
"2026/02/19","00518.005","A","AL","AL04","SOMERVILLE","US",1,"UNATNDD","",""
"2026/02/19","00519.","C","AL","AL58","SPANISH FORT","US",1,"UNATNDD","",""
